Architecture,Training,Success Rate,Difference,\% Below 1/255,$R^2$
CIFAR10 A,Standard,100.00\%,1.71\%,100.00\%,0.999
CIFAR10 A,Adversarial,100.00\%,4.18\%,96.57\%,0.995
CIFAR10 A,Relu,100.00\%,0.18\%,100.00\%,1.000
CIFAR10 B,Standard,100.00\%,1.53\%,100.00\%,0.999
CIFAR10 B,Adversarial,100.00\%,2.92\%,98.46\%,0.996
CIFAR10 B,Relu,100.00\%,1.19\%,98.94\%,0.999
CIFAR10 C,Standard,100.00\%,2.06\%,100.00\%,0.999
CIFAR10 C,Adversarial,100.00\%,3.12\%,97.28\%,0.996
CIFAR10 C,Relu,100.00\%,1.45\%,97.44\%,0.995
